8/14/2004,CCCC-Gold,Vs,DSCC,40,Overs,,,,
Ground,Louiville,,,,,,,,
Toss,DSCC,,,,,,,,
Result,CCCC-Gold won by 3 wickets,,,,,,,,
Man Of The Match,Pradeep Pagadala,,,,,,,,

DSCC batting statistics,,,,,,,,,
Innings start:10:25,,Innings End:,13:45,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Rahul,7,Run Out, ,Govind,, ,,,
Pratish,0,Caught,Jarrar,Mosur,, ,,,
Mahesh,16,Caught,Jarrar,Pradeep,,,,,
Vamshi,12,LBW,Solanki,,, ,,,
Max Ali,0,Caught,Solanki,Govind,, , ,,
Gokul,4,Caught,Govind,Mosur,, , ,,
Rajesh,36,LBW,Rohit,,, , ,,
Suresh,30,Stumped,Swadeep,Pradeep,, ,,,,,,,,
Imran,4,Not Out,,,,,,,,,,,,
Balaji,0,Bowled,Rohit,,,,,,,,,,,
Shoeb,0,Bowled,Rohit,,,,,,,,,,,
Totals:,10,Wides,2,Noballs,1,Byes,0,Leg byes,128,Total,10,Wickets,33.2,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
5,23,41,41,45,51,121,121,126,128,,,,,

LCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Jarrar,6,,1,19,2,6,0,,,,,,,
Govind,6, ,1,13,1,2,0,,,,,,,
Owais,2, ,0,13,0,0,0,,,,,,,
Rohit,5,2,0,21,3,2,2,,,,,,,
Solanki,5,,1,19,2,0,0,,
Sam,2,,0,17,0,0,0,,
Swadeep,6,,0,14,1,0,0,,
Naim,1,,0,10,0,0,0,,

CCCC-Gold batting statistics,,,,,,,,,
Innings start:,10:15,Innings End:,1:55,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Pradeep,54,caught,Shoeb,Suresh,,,,,
Mosur,23,LBW,Suresh, ,,,,,
Solanki,1,caught,Shoeb,Gokul,,,,,
Vinay,4,LBW,Suresh, ,,,,,
Rohit,8,caught,Mahesh,Gokul,, , ,,
Govind,1,caught,Suresh,Suresh,, , ,,
Swadeep,9,Not Out, , ,,,,,
Sam,4,Bowled,Suresh,,,,,,
Jarrar,7,Not Out, , ,, ,,,,,,,,
Owais,,DNB, , ,,,,,,,,,,
Naim,,DNB, , ,,,, , ,,,,,
Totals:,15,Wides,0,Noballs,4,Byes,1,Leg byes,131,Total,7,Wickets,33,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
84,86,91,97,102,112,120, , , ,,,,,

GOLD Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Mahesh,8,0,1,22,1,2,0,,,,,,,
Suresh,8,0,0,26,4,8,0,,,,,,,
Rahul,4,0,0,20,0,1,0,,,,,,,
Imran,2,0,0,12,0,3,0,,,,,,,
Vamshi,5,0,1,23,0,0,0,,,,,,,
Shoeb,5,0,1,17,2,1,0
Rajesh,1,0,0,6,0,0,0
